文本序号	文本内容
457	凯美瑞的车身尺寸是4885*1840*1455mm，轴距是2825mm，算是同级别车内空间大的车了，而且车内的设计也很到位，简洁不繁琐，而且我选的是浅色的内饰，比之前深色内饰看上去看大，前排位置舒适，空间合理，后排地台有凸起，自驾出行坐4人就差不多了，不会觉得拥挤；后备箱大小合适，可以放很多东西，我平时上下班开开，后备箱也不用放什么东西，难得出差旅游，放2个大行李箱没有任何问题。身高175，体重80公斤，主驾驶席空间很大，开长途也不会很累。后排的地台中间是凸起的，这点不是很满意，中间只能坐坐小孩子。后备箱593L，看上去挺大的了，买的尾箱垫也很实用，不用担心弄脏后备箱了
458	作为B级车，凯美瑞的空间是合格的，坐在后排轻松翘起二郎腿后排有空调出风口，还有2个USB接口。很好地照顾到了我们这些手机重度使用者。夏天坐后面也凉快Y字型的中控台非常时尚。中控台下面还有储物空间，很惊喜后排的空间太大了，舒服。谁坐谁知道。很满意
459	这款车的整体空间我挺满意的，无论是前排空间，还是后排空间赞，或者是后备箱都挺宽敞的。行驶我们家的人也不是特别的多。后排做到三个大人的话基本没有问题。我个人的身高的话是一米七五，体重偏重一点，主驾驶的作业还好，没有这么拥挤，可以随意切换坐姿坐到后排的话，腿部空间就不是那么的容易伸展了，因为我比较胖一点。还好，我平时只是开车空间还挺满意。特别胖的人基本上对于我们家来说，这款车够用，而且动力和空间，还有外观造型，我们家人都能接受。
460	乘坐空间：比单位公车雅阁迈腾小点，但是完全够用。本人175，前排调好驾驶位，去后排坐直还是有快两拳的距离。\n后备箱：又大又深，很不错。有次坐五个人，塞了三个大箱子，两个小箱子，好几个袋子都塞进去了。对后备箱特别满意，这届混动不像上届，占用了后备箱空间，还是很大的。\n座椅可以46比例放倒，非常实用，顶配混动就没有放倒，只能电动调节。后备厢容积即便是混动版本的后备箱，空间也非常大。带4个同事去车站，一人一个旅行箱，加上大大小小的包裹，全都塞进去了，很满意
461	空间大，不错！乘坐空间和后备箱空间比较大，行驶平稳。后排空间大，伸脚方便，老年人移动方便灵活。前排座位正常距离时，腿部空间很宽敞很充裕，一点都不局促。内饰做工细致.车内储物箱大，且放下后手放在上面很舒服。手机香烟甚至是吃的食品等放在里面也可以啊。后备箱是真的很大，放物品方便，东西放的也比较多。背包，轮椅，甚至小推车都放过，足足有余。
462	空间真的很大，前后排都很舒服，真不愧是中级车；后备箱更是大，一家五口出去游玩，后备箱照样满足您的需求。另外，后备箱不但大，而且口很宽，装东西很是方便。驾驶室各种小储藏格，都很贴心。乘坐空间我身高175cm，坐在驾驶位，头部空间还有一拳。腿部空间就不用说了，很是宽松。后备厢容积后备箱很大，很平整，开口很大，往里面塞东西很轻松、让你随心所以！不管是20寸的旅行箱还是折叠自行车，放里面都很轻松。车内储物能力中间扶手箱真大啊！矿泉水、眼镜、甚至媳妇的小包，都可以塞里面。日常用品随便放也放不满。杯架、后排中央扶手，都很贴心。很是不错，值得点赞。
463	空间真的很大，副驾驶座一米九大个子都完全不是问题，前排左右调节到最后后排位置依旧很大，像我们这种家里人多的都没有什么好吐槽的，后备箱空间过年时买年货拉年货用都能轻轻松松，我觉得真的蛮不错的。
464	我一米八的个子，坐在里面顶上都很宽裕，加上这个配置有全景天窗，打开天窗，室内空间感更大，完全没有压抑的感觉。后备厢容积深度不错，黑色看不出来深，但的确能装下很多东西，我平常也没放什么东西，比较空一点。家人乘坐评价有时候出行，家人坐后面，也没有觉得挤，腿部空间有够，坐的也很舒服，就是坐中间的稍微脚要放高一点。米色比较显空间大
465	对于凯美瑞的空间，我还是比较满意的，首先说下驾驶席，我身高是1.76了，坐在驾驶席哪里，到顶上的距离还可以放下一个拳头，腿部空间也是很足。副驾空间也很大，后排的话平时很少坐人，就是过年可能会带上爸妈走走亲戚，空间大他们老人坐起来也舒服点。还有就是后备箱是真的大，平时做生意就需要拉一些做事的工具、杂货，基本都能放的下！储物空间尾箱一般都是放我工作常用工具，储物空间够大。还有一个好处就是过年回家可以多给亲人朋友多带一些广东的特产。
466	身高172的我从来不担心空间的表现，无论是前排，还是后排，空间都让人感到宽敞，并且这辆车几乎都是自己在用。偶尔一些180高的朋友坐在里边，他们都感觉到惊讶，他们反馈：正常坐在后排，膝盖和头部的空间都富余。毕竟是B价格，车身长度跟轴距就摆在那里。前排空间后排空间
467	前排无论是驾驶空间还有副驾驶空间都非常的宽裕，不会让驾驶者感觉到压抑的感觉。空间方面表现的非常的优秀，本人身高180无论是来驾驶这款车子还是坐在副驾驶都不会感觉到空间的局促。后排的乘坐空间也非常的充足，基本3位成年人坐进去问题不大。空间设计亮点这个功能非常的好，老板式的座椅调节模式。老板按键，作为一个小家庭来言媳妇在后排看着孩子就可以调节这个座椅来跷二郎腿什么的了。
468	空间可以，后排乘坐的舒服，跟同级别的车来比的话空间很有优势了，当时也是看了几款车，就觉得这个看着舒服，没有那么压抑，像我这种轻微晕车的人，舒适性真是太重要了；家人乘坐评价都说坐在后排腿部舒服，不会说要一直曲着腿，那种后排很窄的，要坐个一两个钟真是要命，腿都能给你整麻喽。后备厢容积后备箱空间够用了，每次回老家出来上班都会带很多吃的出来，能装好多东西
469	整体空间个人觉得很好，不管是前排宽度还是进深都很合适，头部空间也好，最厉害的是后备箱空间，三个成年人躺进去都没问题。后座很宽敞乘坐空间我身高170，体重70KG，调整到我最舒适的驾驶位置，后排膝盖还有3个拳头的距离，头部空间也有一拳多，后排坐三个我这体型的没点压力后备厢容积后备箱底板十分平整，深度非常大，开口也大，还很规整，高度也可以，三个成年人躺进去都没问题。车内储物能力车内储物能力一直是日系车的优势，手套箱、扶手箱、车门储物格都不错，中控台下方还带双层储物格，百变又时尚
470	空间很ok。我180cm坐驾驶位调整好距离，再换到驾驶位后排，一样很宽敞。头顶也不局促，比雅阁好些。中间地板有隆起，但不影响，毕竟没有几次机会能满载。后备箱很大，我趴上去也够不到后排座椅背。储物空间很够，扶手箱很深很大，各种小格子也多。后备厢容积至少可以放4个行李箱没问题。平时因为不怎么带东西，感觉太够用了乘坐空间身高180，坐在驾驶位调好距离，换到后排，至少还有2-3拳的距离。如果女生驾驶位，我在后排能把腿伸直了葛优瘫。车内储物能力前后排门板储物格很多，扶手箱又大又深，中控下还有个储物盒，非常够用。
471	乘坐空间宽敞，我1米75的个头坐进驾驶座并没有觉得多拥挤，头部空余两个拳头左右的空间，而且座椅可调。后排坐三个人没有问题，就是地台凸起一点，放腿会不自然。对于我来说这样的空间也是够的了，毕竟后排坐三个人的情况很少。后排空间宽敞，坐进去膝盖与前排座椅的距离还有一个半拳头的距离。红色的内饰有没有闪到你的眼后备厢容积后备箱底板平整，深度很深，容量大，可以放下4个20寸的行李箱。以后回家过完年上来的时候就不怕装不下妈妈准备的一堆吃的了，哈哈后备箱的深度，能够这样放下一把大长伞，我估计还可以放下一个我开口大，搬放行李再也不怕被碰到头刮到手了。
472	对空间方面满意，现在就两口子，一般后排都是空着，所以空间绰绰有余了！就是后排的凸起挺高，中间的人坐久会不舒服，后备箱也大，以后有孩子了家用也够的。
473	我觉得这款车跟女司机开的有点浪费了，我的身高一米六七，体重65公斤，坐在主驾驶座位上，腿能伸直的情况下，我的后排座椅坐上人之后有大概四五拳头的距离。这个车的空间真的很大。但是没有办法，我不喜欢小的，因为我的身高也不是特别的瘦，如果我买个特别小的话，自己坐上去都不舒服。
474	凯美瑞的空间，对于我们这种一家三口的情况，完全够用了！我身高177，体重70kg，坐在主驾驶，头部距离车顶大概还有1拳半的间隙；腿部的空间也很足够，活动起来也没有特别的拘束！后排我坐进去，腿部距离前排座椅有接近2拳的间隙，头部距离车顶差不多1拳半的间隙，横向空间的话，坐3个成年人，完全没有问题！车内的储物格也很多，扶手箱能放下6瓶小的矿泉水，零钱、行驶证、驾驶证都放在左边功能键下方的储小物格里！后备箱的空间完全够用了，平常去超市买东西和周末带孩子出去玩所需要的玩具的装备都能轻松装下！
475	这辆车的空间方面我认为是足够用了，因为我们家只有三口人，我跟老婆坐前排觉得都是特别宽松的，头部空间很充足，腿部在活动的时候也没有任何阻碍。后排对于孩子来讲也足够用了，无论是坐着或者躺着空间都有余量，就连是后备箱的空间都很理想的。
476	我对这款车的空间还是非常满意的我的身高有一米七八体重130左右，说到副驾驶的时候腿部比较宽松，因为我基本上都是坐到主驾驶的时候，我觉得腿部的宽松，要比副驾驶还要多一点座椅的位置也比较合适，不会太压抑，开车累的时候可以放松一下腿，后排的空间坐三个成年人，一点也不觉得拥挤，对这款车的空间整体还很满意
477	对这款车的空间非常满意。本人身高一米七五，体重不是那么重，主驾驶座椅还好，没有很拥挤，可以随意切换坐姿坐在后面的话，腿部空间也能生长开，但是空间不是特别大。可能是因为体型比较宽，胖一点的原因吧，一般人做的话还有很多空余的空间，这款车的后备箱的空间也挺大的，能装下不少东西，像我们平时家里的杂七杂八的东西都能装得下，只要你不搬家，这款车的空间你绝对可以放心用。后排的空间也挺宽松的。看主驾驶的空间还是挺大的。
478	我跟老婆一直想换一辆空间大一点的车，所以资金差不多以后我们就立马换车了。这款车的空间我很满意，现在孩子到了一个非常皮的阶段，经常他自己一个人趴在后排座上玩。这款车的腿部空间非常大，孩子在后面玩一点也不觉得挤。就算以后我跟老婆有了第二个宝宝，空间也丝毫不紧张。我跟老婆一般坐在前排，也是非常的宽松，一点压迫感也没有。
479	这部车的空间表现很好，双方的父母都在外地，家里只有我们三口人，所以整辆车的空间是特别充足的，打开车门就能感受到很宽敞的氛围，坐在里面就觉得特别的自由，身体周围的空间都是那么大，活动起来一点儿都不受限制，后排是孩子的游乐场，放一些玩具很轻松，放一个儿童座椅也没有问题。至于后备箱的空间更是不错，容积很饱满，有一次送同事去机场，拉杆箱就有三个，还装了很多大包小包的东西。
480	空间非常充足，坐在里面不会有压抑感，前排后排都足够宽敞，给人感觉比较舒适，车内储物空间也比较大，中控下面的双层储物格非常便利，放手机也很适合，扶手箱很深，能放很多东西，后排座椅可以放倒，后备箱空间非常大，家用非常适合。前排后排都非常的宽敞，闺蜜坐后面都能翘二郎腿，哈哈后备箱空间很大，平时都能堆好多东西，照片是刚刚整理完天窗也是挺大的，就是城镇道路灰尘比较多，很少去开天窗
481	要说这辆车的空间我还觉得挺兴奋的，毕竟自己一直在开那辆丰田致炫，突然换成了丰田凯美瑞，让我觉得整个空间都有些不适应了，就像一开始在鱼缸里游来游去，突然给了我一片海洋，让我觉得自己的空间突然变大了许多。头部空间一拳大多，腿部也有很大的空间，之前后排坐三个人特别特别的拥挤，现在后排坐三个人竟然还有空间上的剩余，这样的空间让我觉得太美好了。
482	针对我本人来讲，因个子不高，膝盖伸缩没问题，反正就感觉空间还阔以，如果是一家人出去玩，前后排空间看看是够了。小姨家7岁小朋友很顽皮的，在车里转身玩耍也没碰到头，不错。但是，后排座位放脚的地方中间有个隔开凸起的部分，太鸡肋了吧，今年过年期间买东西买多了，放了一部分在后排，因为后排本来就有三个人，我老妈被分到坐在中间位置，她在回去的路上一直抱怨搁脚的地儿不舒服，哎。至于后备箱的整体空间，我还是相对满意的，基本满足需求了，另外，后排座椅可以往前放倒，这样的话，后备箱储物空间就更大了，方便一些长的物体，比如家用晾衣叉、高尔夫球杆等等，保证其拥有足够空间来摆放。等以后有小孩了，零零碎碎的东西不少呢，应该不用太担心了。到时候实在不行，就只能卖血换大车啦（哭）
483	空间方面的表现特别好，坐在车里面就能感受到宽敞和放松的气息，前排与后排的空间都是按照最佳比例划分的，所以整个空间方面的利用率基本是最高的，主驾驶空间相当的充分了。至于后排的空间那也是很好的，坐三个大男生正正好好，坐三个女生那就是特别宽松的状态。
484	关于这辆车的空间方面，我认为是相当充足的，我们家的人口数量不多，幸福指数最高的三口之家，前排一般都是我跟老婆使用，后排放孩子的儿童座椅，空间方面感受不到任何紧张，乘坐感受和驾驶感受都是很放松的，有一次我爸我妈来做客，我们一家三口去高铁站接的他们，回家的路上就是满载的状态了，后排坐三个人不拥挤，腿部和头部的空间都够用。
485	空间方面，这辆车是很充足的，在中级轿车的名单中也是排在前头的，我的身高是1.77米，把主驾驶的座椅调整到最佳位置以后，头部距离车顶大约是一拳多一点，膝盖位置和中控台之间也有一拳的距离，我在驾驶过程中感受到的空间是很宽松的，后排经常性的会做2到3个人，空间上并不觉得拥挤，头部和腿部活动起来很自如，后备箱的空间也很大，之前单位发啤酒可以装8箱。
486	车内空间：前面都说了我们一家都是胖子，首先说哈我170CM的身高，80公斤的体重，开车都是习惯把座椅调的很靠后，但是这样后面的人还是感觉不到拥挤，其次，我家有2个小孩，在车上从来不乖乖的做好，都喜欢在车里跑来跑去，感觉不到空间不足，比以前的车坐着舒服多了。长时间驾车和乘车都不会感到疲惫。后备箱空间：我们出门都是大包小包，大宝二宝的衣服我们的衣服，日用品，奶粉等等，感觉后备箱还是够用。
487	空间非常满意，就有一点，我187身高180斤，座椅调到最适合的位置，那样主驾驶后排的空间就没那么舒适了，我个人坐进去有点顶着头，之前看迈腾就是看中后排空间特别大，这个将近5米的车，如果把后排空间加10公分那就特别完美。后备厢容积后备箱真的特别大，不夸张躺进去两个人都可以，有一次拉狗笼子，一直在担心要不要租一个三轮车拉，到了地方看狗笼子那么大有点担心，把后排座椅推倒之后那么大狗笼子直接塞进去了，真的好评！
488	凯美瑞的空间我还是比较满意的，毕竟2825的轴距在这放着，雅阁的轴距要稍微大一点，但是实际坐车里感受都差不多，空间家用绝对足够了。中控台下面放手机的地方推开还有个储物槽，可以放点证件类的小东西扶手箱还是挺大的，能放不少东西手套箱倒不是特别大，不过高度还可以，放东西也比较方便乘坐空间我身高是178CM，体重76公斤，前排腿部空间非常宽裕，头部也有一拳靠上的头部空间。媳妇和孩子坐后排也很舒适，跷二郎腿什么的都是常规操作。后备厢容积后备箱不小，不过肯定是没有SUV车型实用，日常出门旅游带两个大旅行箱没问题，儿子的小脚踏车也能放进去。
489	空间方面，这台车足够用了，前排与后排都很宽敞再加上全景天窗，显得整个空间格外的明亮，坐在车里面就是很舒服的感觉，我的身高有1.77米，头部距离车顶大概一拳三指，腿部与中控台以及侧面的中控区域都有一定距离，在控制油门和刹车时没有任何阻碍。后排经常性的坐两三个人，空间方面并不拥挤，膝盖与前排座椅有空间剩余，头部的空间也充足。
490	车里的空间还是挺宽敞的，后排坐一下就能感觉到，毕竟轴距2.8多的轴距在这放着，空间肯定小不了。后排头部空间感觉稍微低了点，没有公司那个老款凯美瑞那么充裕，可能是新款车顶造型比较低有关，影响不大我也不常坐后排，身高低点就没问题。前排头部空间还可以，我开车喜欢把座椅调的稍微高点，感觉视线会好点，后备箱空间也没去跟同级车型对比，已经足够用了没必要比来比去。车里储物空间设计的算多的，光放水杯的地方都好些个，手机钱包钥匙之类的也随手就能找到合适位置。
491	对于凯美瑞的空间我是很满意的，我身高177cm，坐在驾驶座上腿部宽松头部的余量还是很足，不管是头部空间还是腿部空间都非常的满意。前排调节好驾驶位置，后排空间也非常大，尤其是腿部空间，有1拳的空间，后备箱的空间很大，日常出游的行李可以放下很多东西，很满意。不过唯一有点不太喜欢的是地台中间设计的是凸起来一节，这样后面坐3个人的时候就有点不太舒服。
492	这台车的空间十分宽敞，完全满足了中级轿车的合理定位，我1.76米的身高坐在主驾驶位置上，头顶与车顶之间的距离至少在十公分以上，腿部活动的空间特别宽松，身体方面也毫无束缚感。后排空间也没有任何问题，周末经常会跟邻居聚餐，出去吃饭总是要开车的，我家车坐四个人的情况下并不是很拥挤，头部和腿部都有相应的剩余空间。
493	这款车的空间上我是很满意的，因为首先你从外表看来的它就是一个体积不是特别大的车，但是它的乘坐空间上绝对做到了极限了。而且在对于乘坐空间和它的储物空间的的分配上也是在两者之间做了很好的均衡。乘坐空间的腿部空间以及头部空间都是足够的，而且座椅的设计也很合理。储物空间做的也是没有什么太大问题的的，整体该配备的他都是有的并且后备箱的空间也绝对不算小。起码满足我的日常生活所需是足够的。而且对于手套箱以及扶手箱之类的处理也都是非常到位的。
494	车内空间已经足够我们家里四个人使用了，有时和朋友们一起出来吃饭车里坐着五人一点也不拥挤，坐四个人就更加宽松了。腿部空间和头部空间都非常富余。车内到处都设计有储物格，如中央扶手箱前的杯架，扶手箱下的储物格，副驾驶座前的手套箱和门板处的储物槽，车内存放杂物零钱是不用愁没地方放的。后备箱空间也很深很大，人几乎要探进一半以上身体才够得着底部，三四个行李箱随便放，出行行李轻松解决。
495	整体空间还比较多，我不是很高，对前排也没有特别多的要求。后排平时也就坐两三个人。有时候媳妇会带着小孩，带着她闺密。基本上也就出去玩玩。有时候会带父母出去烧烤呀，踏春呐，空间基本上对于我们家来说是够用的。
496	这辆车的空间方面表现的很充分，我的身高是1.76米，将主驾驶座椅调整到最佳位置之后，我的头顶与车顶之间的距离大约有一拳多，头部空间算是很充分了，膝盖与中控台之间的距离大约也有一拳，在控制刹车和油门的时候很宽松的状态，腿部空间也够用。至于这辆车的后排相当的宽阔，坐三个人的时候并不拥挤，做两个人的时候非常享受，可以把中央扶手放下，手臂往上一支的感觉真好。
497	因为我们家有两台车，所以对车的内部空间没有太高的需求，平时也就是代步和接送孩子，丰田凯美瑞是足够了。老婆驾驶起来还是非常舒适的，四周的空间也表现得非常充分，特别是头部和膝部的完全够用，儿子在后排也玩的不亦乐乎的，完全无压力那种，后备箱里面虽然没装什么，但是看起来还是很够用的，就算以后长途旅行不开我的汉兰达，有这台凯美瑞也是足够的。
498	空间的话，我不是很高，所以对我来说前排没什么要求，我老婆就更不用说了，后排还是很宽敞的，毕竟是个B级车，带朋友、父母出去聚餐、郊游完全不是问题，副驾空间有点挤了，但是没关系，我老婆比较瘦小，不嫌挤。
499	后排空间说小说大要看和谁比较，如果凯美瑞跟同级别的豪华车比确实小，同价位同级别的车型里凯美瑞空间不说是最大但是也能排前几名了，空间方面具体感受你不进店是根本没办法了解的，每个人身高体重家庭情况都不一样，老老实实的去店里亲身感受一下最靠谱，这才是判断后排空间大小以及是否够用的唯一标准。就我自己的亲身感受来说，前排185以内驾驶乘坐不会拥挤，后排标准身高170以上到180以内都很宽敞，我这个车也坐过身高188的同事，后排除了头部空间比较紧张压抑，腿部基本可以凑合。后备厢容积后备箱我的感觉是真的够大了，这个空间已经超出我的想象了，个人感觉如果能再把后备箱空间适当压缩一点让给后排会更合适。
500	凯美瑞空间还是很宽敞的，我一米78的个子，全面座椅调好，坐进后排还空2个多拳头，这个车大长腿也是不怕的！储物空间这个后备箱可真够大的，超级无敌大，深不见底，这个后备箱回乡下拿土货是绝对不用担心没地儿装了；门上的储物不是很大，胖一点的饮料瓶几乎都放不进去，只能塞个毛巾啥的
501	B级车的空间对于我们一家四口来说也是卓卓有余。前后排座位正常调节的距离坐着非常舒适，本人160坐在后排跷二郎腿也恰到好处，头顶也不感到压抑。后备箱正常家用完全足够。
502	乘坐空间是完全符合第八代凯美瑞的身份的，对于一辆B级车来说，空间设计和定位恰到好处。后备箱规整，装载量相当可观，过年回家的年货妥妥的带回去了，比小舅子的蒙迪欧强太多了。中控整体布局很有设计感。超大的后备箱，宽敞！后排很舒服！
503	乘坐空间对我来说足够了，驾驶空间也很宽敞朋友一米八坐在驾驶位上也没有压力，后排也是基本满足正常使用需求，主要就是它的储物空间我不太喜欢手套箱因为空间不是很大除了可以放一些手续保险单之类的，别的也放不下了。扶手箱和车门储物箱我还是很满意的。足够日常使用了。并且副驾座椅放倒以后躺着休息一会也不会觉得空间憋闷了。
504	整体空间是很大的，驾驶座上怎么挪动都可以，一点也不挤。朋友坐后排都可以施展开，也都说后排的空间很大。再就是后备箱，真的很大，和朋友出去玩的时候可以放好多东西，比如烧烤架等，还能放下一辆小的自行车，真的很满意。
505	车身有4885×1840×1445（mm），轴距也有2825mm，是主流中级车的尺寸。我1米7，调好坐姿，前排头部空间还有一拳多，后排座椅感觉有点低，我坐进去头部空间一拳多点，纵向也可可翘下二朗腿。后排带过3个中等个的同事，高的有1米75，反映纵向，横向很宽松，头部稍差点。后备箱有980*1080*520MM,最宽处有1620MM,很大很规整，实用性很好，能装不少东西。前排非常舒适
506	空间在中级车行列中不算出色，但是对于我们来说已经足够，腿部空间足够，后备箱非常平整，容积大。
507	173后排长期放一个儿童座椅没问题有时候觉得再小点就好了，开惯了紧凑型，突然换这个不太好停车，一些乱停车的辅路以前没压力现在也变得难停了。。。不过现在不管家，公司，或者去商场都停地库北京的停车规划越来越好，这个不是什么大问题车内储物能力不得不提的就是日本人对于储物空间的重视可以看到扶手箱非常身为，我tb了一个分层的格子能放的懂更多俩，不打广告是我的基本原则，有需要的我私信我
508	车子空间十分宽敞，178坐驾驶位很舒服，头部还有10几20CM距离。调整好驾驶座椅试坐后排，腿部还有一拳的空余。储物格放东西够够的，前后排都两个杯座，很喜欢点烟器下方的小储物格。后备箱打开很惊喜，空间很大，感觉自个可以睡进去哈哈，家用足够。
509	对于1米78，70kg的的我来说，驾驶座空间足够宽敞，没有压迫感，驾驶视野开阔。后排空间也很大，坐3个体型和我差不多的应该也没问题。后备箱的空间也完全足够。出游也已放2个大的行李箱，和一些常用的物品。
510	当时和朋友一起去看的车，我俩的身高都不算矮，在178CM吧，我在前面副驾驶上调整好座椅后，让朋友坐在后排感受下空间感，他说比他自己的车空间感还好呢，头顶的空间还有一拳的距离，膝盖距离座椅还有三指的的距离，后排坐三个人妥妥的，后备箱的空间就更喜欢了，自从买了车，自驾游很爽，至少行李这块不担心。
511	我身材中等（175CM），偏胖一些81kg），驾驶空间够用，刚开始感觉头部空间略小，主要是开始没有调座椅，座椅高低可调，调整后头部还有一拳的空间，挺宽敞的；副驾空间也可；后排乘坐空间足够比迈腾、帕萨特略小，但是也挺宽敞的，我家小朋友8岁，130多CM，在后排动来动去，坐着、站着、趴着、躺着，各种姿势换来换去，玩的不亦乐乎，丝毫不感觉到局促。打开车门，敞亮的感觉后排乘坐空间还是可以的从后面看副驾驶乘坐空间也不局促哦储物空间中间的杯座和中控下方的储物盒很实用，中间扶手箱挺大，但是手套箱挺小的，门板储物也不是很方便。后备箱足够宽敞，放置三个8寸行李箱毫无压力，并且后排座椅可放倒，满足一些大件物品的临时放置需要，可以防备不时之需；帐篷放在后备箱里显得空空荡荡的！后备箱可以方很对东西啊，出去旅游不用发愁了
512	空间没什么好说的，家用来说选择这么一款中型车怎么说也够用的了啊，除非你想当做客车用，不然相信大多数朋友都没什么可挑剔的了吧，轴距够长，驾乘空间够大，够宽敞，特别是后备箱给我的感觉还是比SUV车型要宽敞，这样走亲传友的，逢年过节的，要不要太方便啊，赞一个。
513	我一米七的个子，体型偏瘦，坐在驾驶位上感觉伸缩自如，有时候会觉得这空间是不是有点儿太浪费了。副驾驶位置上一般是老妈坐，平常载她去买一些蔬菜啊水果的生活用品，老妈比我胖不少，空间对她来说也是挺宽松的。后排空间基本不用，也就是带同时出去聚餐的时候用一下，五个人反正是没有压力。至于后备箱，到现在还没有东西装不下的时候。驾驶空间很宽敞
514	这台车的空间足够好，我们家里使用再适合不过了，我和老婆都会开车，但是我的身高和体重还是比较大的，身高176，体重74公斤，坐在驾驶室里头部脚部没有任何拘束感，右侧手臂也正好可以放在扶手箱上，膝盖与中控台也有一段的距离，由于座椅是可以前后移动的，所以这个距离也没有办法准确的衡量。后排的空间也特别宽敞，坐两三个人还是没问题的。
515	整体来说空间只要能满足我的正常需求就好，毕竟在车内的时间不会太长，空间有着3方面比较理想，一是乘坐的空间，坐在车内整体的乘坐空间有着一种宽敞感，没有肢体的限制，二是驾驶空间，我身高也就一般个子，对于头部的空间和腿部的空间都能满足我的需求，驾驶的时候也是感觉挺舒展，三是储物空间，后备箱的空间也能满足，在平时使用的情况下，空间也是基本表现的绰绰有余，车内的小储物槽空间还不错，实用性也挺高。
516	这部车的空间我觉得已经够好了，无论是轴距还是长宽高的尺寸都很合乎我对车的要求，空间的整体感也比较不错，我们一家三口使用起来也是其乐融融。前排空间足够大，我1.79米的身高，头部至少还有十来公分的距离，身体周围的空间也算够用，后排的宽度和长度也很好，虽说翘二郎腿费点劲，但是膝盖距离前排座椅的距离也有两拳，宽松度很好。后备箱也很能装，上回我跟老婆的单位发放礼品，几箱水果还是轻松应对的。
517	说实话个人感觉空间没有雅阁大尤其是后排空间八凯的后排中间凸起让中间的人会稍不舒服。当然啦座椅非常软当初就是车展的时候老婆坐了一下凯美瑞说这个真舒服才转向了它
518	本人身材有点虚胖，平常只有我和我老婆一起开这辆车，我和她相遇也是在旅游的时候，我们都爱旅游。空间足够用的了，后面的后车厢还可以放一些旅行用的东西，很满意，在放了很多东西，以后也不会有什么拘束感，我们出去旅游，也有时会带一些别的地方的土特产回来，有时会比较大件，但也能放得下。方向盘，主驾驶座位，足够我坐的了后面乘客席，偶尔在路上打个盹也是可以的，长途旅行可以的
519	空间方面，对于我来说，完全是足够的；本人身材标准（身高175体重70kg）坐在主驾驶位，腿部能完全伸开，座位上有腰部支撑，开车的时候疲劳感不会那么强烈；笔直坐在主驾驶位上，头部空间还剩半拳，不会有压抑的感觉；副驾驶的话稍微有点瑕疵，楼主这个体型的还好，如果比楼主还高大的话，腿部空间会有影响，容易顶到中控的板子上；后排空间坐3个成年人完全没有问题，中间地台不是平整的，有一块凸起，坐在中间的话，舒服度会有影响；?前后的储物格多且实用，随身携带的杯子、饮料等小物品，都能轻易的拿放，很方便；扶手箱的容纳空间也很足够，550ml的矿泉水能叠放4瓶后备箱的空间，前段时间去超市大采购，买了烤火炉和一些日常生活用品，都塞进去了，挺让我惊喜的，开始是准备把烤火炉放在后排的！
520	我最开始担心后备箱问题，因为需要放电池，多出来的东西肯定要占空间，还好整体上后备箱挺规整，就是放不倒所以留了一个可掏开的空间，多少能解决一下问题。车内的空间也没啥特别的地方，放手机的放水杯的，前后排的扶手比较大，门板上的空间余量不算大，也就是放瓶水的样子，再多我看也塞不下什么东西了。前排的空间没啥，后排的空间就有一个比较高的凸起坐下不是多方便，其他也没什么。
521	空间使用起来真心不错，前排与后排的空间都很大，就连后备箱的容积都很完美，两个登机用的28寸拉杆箱都可以轻松的放在里面，还能放很多其他的东西。空间这东西挺不好描述的，身高177厘米，体重75公斤，头部腿部空间都很宽松，副驾驶的手套箱以及扶手箱，还有车门两侧的储物箱空间都很好，使用起来也非常方便。
522	空间挺大的，不论是座椅空间还是后备箱空间目前来说都够用，平时车子就是我一家四口用，我有2女儿，一个一年级一个幼儿园，车上几乎都是这几个女人的东西，零碎的东西实在太多了，所以储物收纳的空间稍微小了点，我是178.155斤，坐前后都很充裕，如果副驾驶的座椅往后排推，那后排是没有很宽敞的，但是也不挤的，这里想起个点关于后排地台凸起很多人都在吐槽，我倒没啥感觉，我们家小宝贝可喜欢坐后排台子上写写画画了，以后可能会对它有意见吧
523	我身高180差不多160斤，座椅后调节很舒适，坐主驾完全不紧凑。上个星期开过一次小长途，一路上都没觉得累，副驾就不用说了，只是我觉得后排放脚那里凸起来的部分真心不能理解，要是没有这个凸起部分坐三个人完全没问题，因为这个中间凸起部分导致舒适感降低了好多。好在孩子们都成家了，一般都只有我跟老婆两个人坐，后座很少排上用场！后备空间看图感受吧！
524	驾驶座实际比我试驾的时候要小一些，之前试驾没调整座椅，我把我的车座位调整了之后，会有一些些矮，坐直之后，头顶约一拳半的距离，其他的整体来说给个9分吧，用车一个多月没感觉到哪里会不够空间。后排就特别宽敞了，虽然地台非全平，但这台车主要是上班、见客户以及部分家用，所以没坐满过五人，后排空间就显得很大气了。后备箱因为没有因为放电池组而受到影响，所以后备箱是够大的。
525	空间虽然没有迈腾那么宽敞，但是家用足够了！一般都是我一个人用车，上下班开而已，老爸老妈周末才跟我一起，老爸身形很庞大，175身高，180斤，他坐在后排不觉得很挤！后排出风口人性化许多！空间对于我们来说，家用足够了！储物空间也足够，无论是前面的储物盒还是后备箱！
